seconds_elapsed,z,y,x,a,ave,std
24.93014038,4.820633273,-2.838711853,-2.712568229,3.926361086,5.327623549,1.233336152
24.94012329,5.107129078,-3.179710233,-2.494566407,4.041462448,5.618951704,1.211821972
24.95010669,5.113956294,-3.089223906,-2.384569324,3.902496022,5.820054905,1.094540402
24.9600896,5.120055195,-3.258827608,-2.681049348,4.219950591,5.921029374,0.950017001
24.97007227,5.770176808,-3.51090735,-3.407348483,4.892493649,5.862876882,1.063396281
24.98005444,6.440698234,-3.5289644,-4.15773372,5.453470401,5.539040842,1.644119768
24.9900376,6.389311746,-3.943028016,-4.712402323,6.1444451,5.122660688,2.082004172
25.00002051,6.585337591,-4.584339714,-4.890631523,6.703316143,4.72966646,2.218474879
25.01000342,6.674858287,-4.754837735,-5.080471373,6.958424481,4.451082305,2.126136852
25.01998633,6.212924082,-4.558802538,-5.356480271,7.03381557,4.713959559,2.541779776
25.02996924,5.805512909,-4.223994829,-5.379458996,6.839642637,5.291661047,3.484919517
25.0399519,5.17362195,-3.746896372,-4.75325748,6.052494453,5.685079557,3.841311804
25.04993408,4.172477115,-3.125783412,-3.789404557,4.912240715,5.78637111,3.862958482
25.05991699,3.316376711,-2.51990017,-2.624546539,3.638425676,5.752750855,3.871872687
25.06990015,1.694980794,-0.970765187,-1.339317636,1.654133241,5.653827504,3.936722347
25.07988306,-1.603532344,0.904590879,-0.919217662,1.28966886,5.718498547,3.875318713
25.08986597,-5.984025895,2.146174994,-0.545853136,2.214502822,6.045712336,3.61709367
25.09984912,-9.896966815,3.598215046,1.549017641,3.917474591,6.777307296,3.506374216
25.10983203,-14.13275028,6.86019615,6.697167734,9.587197029,7.660570403,3.776780925
25.11981421,-14.78114522,8.252667577,9.798512871,12.81083044,7.807235707,3.875926871
25.12979712,-9.560666238,7.196249475,8.018064455,10.77382774,7.263596804,3.498914248
25.13977979,-5.258409189,5.279365467,4.695563709,7.065409987,7.002864766,3.320206672
25.14976318,-1.859953914,3.544852874,2.893811224,4.576038166,7.261723106,3.414560266
25.15974609,0.298435834,1.512288477,2.175132793,2.649192161,7.949344931,3.495878233
25.169729,-0.535351324,0.7294085,2.182165176,2.300843674,8.854949823,3.162682097
25.17971191,-3.321282603,2.955491143,3.474932073,4.561806748,9.660686648,2.298628976
25.18969385,-4.665377537,7.321724697,6.100972943,9.530452423,10.18500119,1.552743721
25.19967725,-2.773702205,11.19121869,6.109158587,12.75010566,10.37133458,1.574663672
25.20965991,-1.663673509,11.04657057,0.401098482,11.05385006,10.49881663,1.797868721
25.21964282,11.21533256,6.207118026,-3.981717228,7.374441421,10.83725891,2.153813855
25.22962622,19.33681413,-1.092148171,-8.09314863,8.166507355,11.28472113,1.828101764
25.23960913,18.6977014,-5.265980501,-8.091293942,9.653993386,11.04098592,2.323070112
25.24959106,15.2234541,-7.654905682,-8.518015965,11.45225641,10.30220366,3.515425814
25.25957397,13.32784026,-7.320809336,-9.133368461,11.70524108,9.421152323,4.161486607
25.26955688,12.55417761,-4.22123004,-9.459057629,10.35821192,8.477020538,4.585572225
25.27954004,10.38867832,0.52894321,-9.790674432,9.804952155,7.601796181,4.962731371
25.28952295,7.639841383,6.374185488,-9.443946569,11.39378635,6.857350806,5.131884095
25.2995061,5.996333587,10.90201363,-8.822961619,14.02492613,6.033213191,4.997175732
25.30948779,4.906974755,12.16387013,-7.778430939,14.4382729,4.932520456,4.275820978
25.31947119,-3.405584396,9.871071327,-6.554560175,11.8490636,3.676668938,2.932828851
25.3294541,-13.82850547,3.806923263,-4.281419721,5.729155222,2.810138557,1.093664784
25.33943701,-3.144361856,1.130430848,-1.964091749,2.266170845,2.750302214,0.93754978
25.34941992,6.644070935,2.427269817,-1.042673216,2.641743023,3.1028992,1.287056632
25.35940308,7.242491586,2.197348132,-0.544985852,2.26392323,3.253554586,1.312187814
25.36938599,3.678290161,1.586632063,0.248461404,1.605968359,3.330269217,1.273956304
25.37936792,1.397986683,1.966201289,1.306141343,2.360498404,3.365305016,1.23011695
25.38935083,0.127746674,2.455975103,1.976329007,3.152410197,3.26826489,1.339011541
25.39933423,-1.028504843,2.068142491,2.197977077,3.017998773,3.094859843,1.45043279
25.40931714,-1.211454934,0.098469142,1.877176851,1.879757724,2.97364611,1.501540353
25.4192998,0.139808868,-2.137730406,2.359329376,3.183759789,2.925194714,1.54329262
25.42928296,1.753327769,-3.69813731,3.556515839,5.130791798,2.786524324,1.575787665
25.43926514,2.957702974,-3.421400682,4.673640046,5.792140701,2.549485502,1.370192903
25.44924805,2.454149348,-0.856247996,4.058966179,4.148296888,2.210089829,0.844421169
25.45923096,0.592149316,-0.502326422,2.989155512,3.031069532,1.924126868,0.583531993
25.46921411,-1.515511238,-0.423778955,1.909875444,1.956326357,1.810136845,0.452871147
25.47919702,-2.768957933,-0.80274963,1.134884612,1.390097138,1.939745498,0.627831787
25.48917993,-2.039656109,-1.125298746,0.863392753,1.418359726,2.076006599,0.641471091
25.49916309,-0.453302571,-1.487101429,1.024531556,1.805861448,2.180306288,0.61008709
25.50914478,1.006377767,-1.304670393,0.494510195,1.395243767,2.293103723,0.634226123
25.51912817,1.994652015,-1.530502764,-0.941791459,1.797055887,2.547569284,0.726683147
25.52911108,2.563897717,-1.548281581,-2.285312246,2.760403579,2.793075337,0.837864087
25.53909399,2.067270384,-1.104854508,-2.128516588,2.398183969,2.835309749,0.845760128
25.5490769,1.087987252,-1.155320959,-0.570873742,1.288667276,2.800827646,0.869573095
25.55906006,0.838726076,-1.812809885,0.53874082,1.891169308,2.807153889,0.858711226
25.56904224,0.547408841,-3.108994774,0.955165466,3.252412885,2.754139267,0.927254589
25.5790249,0.027410277,-1.986300658,1.905783791,2.752708151,2.6139857,0.947057878
25.58900781,0.3785317,-0.392449166,2.429868309,2.461356607,2.494596158,0.996031811
25.59899121,1.282318276,1.015064932,2.752641589,2.933835805,2.404472623,1.034973896
25.60897412,1.291538232,2.393390344,3.129614953,3.939899376,2.281128012,1.038030737
25.61895679,0.994889282,2.909392239,3.100956429,4.252116412,2.044509274,0.892418558
25.62893896,0.980977076,1.851127049,2.589056124,3.182747706,1.96668135,0.712248968
25.63892188,0.564226413,1.395643042,1.506147344,2.05336293,1.826758036,0.585827046
25.64890503,-0.117771516,1.340384096,0.17630773,1.35192971,1.79674444,0.581118074
25.65888794,-0.687134415,0.705405693,-1.163953032,1.36102309,1.840469928,0.562144108
25.66887109,-1.147902499,0.660441346,-1.729035477,1.850877212,1.806312238,0.599383285
25.67885425,-0.877311827,0.292453837,-1.531132878,1.558812733,1.679348686,0.702155082
25.68883691,-0.13508184,0.655107584,-1.415913969,1.56012125,1.551235164,0.819526693
25.69881909,0.246761469,1.041500519,-1.344098879,1.700389699,1.426827692,0.899281926
25.708802,0.691969288,0.930842341,-1.268897946,1.573712001,1.336372829,0.912609826
25.71878491,0.387832612,2.773267613,-2.092016118,3.473837171,1.291834147,0.910806452
25.72876807,0.370052917,0.773921595,-1.606850821,1.783514563,1.060934978,0.549320362
25.73875098,1.332930565,-1.753225477,0.002290887,1.753226974,1.003177431,0.498304545
25.74873413,1.852707304,-1.573336528,0.851935247,1.789184589,0.945073615,0.437641884
25.75871582,1.700273055,-0.373383231,0.948607131,1.019446186,0.872757475,0.341337576
25.76869922,0.970779215,0.041792146,0.579737286,0.581241692,0.827982971,0.348451314
25.77868213,0.036797991,-0.155680391,0.22993133,0.277677512,0.797806028,0.380139374
25.78866479,-0.875851107,0.056917234,0.310879136,0.31604653,0.83294155,0.34506016
25.79864795,-1.103688679,0.245673381,0.756972652,0.795841069,0.876332368,0.301917847
25.8086311,-1.318572662,0.279961435,1.093041321,1.12832519,0.8896954,0.301015459
25.81861401,-1.469596752,0.010209844,1.164800735,1.16484548,0.87499313,0.292470371
25.82859595,-1.145753212,-0.51200552,1.09185138,1.20593909,0.889079416,0.309015557
25.83857886,-0.899967311,-0.230748199,1.149252745,1.172188809,0.923451613,0.357639445
25.84856226,-0.474714192,0.711145698,0.794151898,1.066023189,0.918863638,0.354701308
25.85854492,0.194662448,0.511725534,0.254910142,0.571701148,0.889363745,0.353500819
25.86852808,0.795837074,-0.240951029,-0.141588664,0.279472267,0.922663365,0.337322581
25.87851099,0.536876341,-0.469834019,-0.418256099,0.629032726,1.017986134,0.270079402
25.88849316,-0.516203556,0.055667527,-0.747885821,0.749954715,1.144749726,0.344896644
25.89847607,-1.110938504,0.364425433,-0.855050384,0.929471385,1.297619996,0.456697636
25.90845898,-0.983150913,0.24956922,-0.949036243,0.981302494,1.293512791,0.460161577
25.91844214,-0.55309887,0.217325239,-1.287495241,1.305708334,1.24857715,0.507917635
25.92842505,-0.094346509,0.443251132,-1.484916778,1.549661061,1.195136655,0.526855829
